FileName,Hiders,Seekers,Cells,Obstacles,Lying Probability,Max Rounds
../res/worlds/world2.txt,1,2,49,9,0.8527259892030488,26
../res/worlds/world1.txt,1,1,49,0,0.12980181522585288,44
../res/worlds/world.txt,2,2,49,8,0.5753200418917452,39
../res/worlds/world2.txt,1,2,49,9,0.9787494368267895,33
../res/worlds/world.txt,2,2,49,8,0.4908410861011927,43
../res/worlds/world.txt,2,2,49,8,0.0018431063672469383,32
../res/worlds/world1.txt,1,1,49,0,0.9735780334577759,34
../res/worlds/world2.txt,1,2,49,9,0.4522698017162333,26
../res/worlds/large.txt,4,2,160,79,0.19622910639503255,40
../res/worlds/large2.txt,6,2,160,66,0.06354465886748384,33
../res/worlds/large.txt,4,2,160,79,0.905762315162783,11
../res/worlds/world2.txt,1,2,49,9,0.7776831234653779,28
../res/worlds/open.txt,2,2,25,0,0.19421255423374784,15
../res/worlds/large2.txt,6,2,160,66,0.4208657650103147,15
../res/worlds/large.txt,4,2,160,79,0.928486883431231,47
../res/worlds/large.txt,4,2,160,79,0.7179180951011767,18
../res/worlds/large2.txt,6,2,160,66,0.5867079015262385,18
../res/worlds/world2.txt,1,2,49,9,0.6158691108026068,43
../res/worlds/world1.txt,1,1,49,0,0.19528545241264583,41
../res/worlds/world1.txt,1,1,49,0,0.7212405483918829,10
../res/worlds/world1.txt,1,1,49,0,0.03032462374912903,15
../res/worlds/open.txt,2,2,25,0,0.2265419926129787,23
../res/worlds/open.txt,2,2,25,0,0.32728559431265747,41
../res/worlds/world2.txt,1,2,49,9,0.8434970067478621,12
../res/worlds/large2.txt,6,2,160,66,0.5820844999882334,42
../res/worlds/open.txt,2,2,25,0,0.5609203020940766,38
../res/worlds/open.txt,2,2,25,0,0.13796782681046105,11
../res/worlds/large2.txt,6,2,160,66,0.182503185462068,17
../res/worlds/large2.txt,6,2,160,66,0.9860576680016745,37
../res/worlds/world2.txt,1,2,49,9,0.5030330648595417,35
../res/worlds/large2.txt,6,2,160,66,0.7896740039784007,15
../res/worlds/open.txt,2,2,25,0,0.2096307005305118,40
../res/worlds/open.txt,2,2,25,0,0.660831493226205,48
../res/worlds/world1.txt,1,1,49,0,0.5850617643464877,32
../res/worlds/large.txt,4,2,160,79,0.6524340368162023,43
../res/worlds/world.txt,2,2,49,8,0.41213505144225004,49
../res/worlds/large2.txt,6,2,160,66,0.5661572943376814,42
../res/worlds/large.txt,4,2,160,79,0.3581921749219643,15
../res/worlds/large.txt,4,2,160,79,0.4174961484172093,50
../res/worlds/world.txt,2,2,49,8,0.775674767371266,34
../res/worlds/world.txt,2,2,49,8,0.9845814671140831,48
../res/worlds/open.txt,2,2,25,0,0.25153963963797366,36
../res/worlds/large.txt,4,2,160,79,0.8282386965863343,12
../res/worlds/world.txt,2,2,49,8,0.6490005061399718,11
../res/worlds/world2.txt,1,2,49,9,0.8485942097950386,24
../res/worlds/large.txt,4,2,160,79,0.6700345046995745,26
../res/worlds/world.txt,2,2,49,8,0.9924441307939342,21
../res/worlds/large2.txt,6,2,160,66,0.23356525248232285,40
../res/worlds/large.txt,4,2,160,79,0.6072068111576429,17
../res/worlds/large2.txt,6,2,160,66,0.8726204226724394,16
../res/worlds/world.txt,2,2,49,8,0.39869778608307527,41
../res/worlds/world1.txt,1,1,49,0,0.4716463920031816,39
../res/worlds/large.txt,4,2,160,79,0.8148771462545112,22
../res/worlds/large.txt,4,2,160,79,0.9964265876350029,30
../res/worlds/world1.txt,1,1,49,0,0.38647261609816086,46
../res/worlds/world2.txt,1,2,49,9,0.8664739764334661,20
../res/worlds/world2.txt,1,2,49,9,0.2327990799588846,22
../res/worlds/world2.txt,1,2,49,9,0.47145608825006535,45
../res/worlds/world.txt,2,2,49,8,0.9026053854650705,24
../res/worlds/large.txt,4,2,160,79,0.8031495332125015,46
../res/worlds/world1.txt,1,1,49,0,0.20953478579121665,12
../res/worlds/world.txt,2,2,49,8,0.13302424715189565,15
../res/worlds/large2.txt,6,2,160,66,0.07038962183613384,39
../res/worlds/large2.txt,6,2,160,66,0.2290469901351767,27
../res/worlds/world1.txt,1,1,49,0,0.38043135616473667,34
../res/worlds/large2.txt,6,2,160,66,0.016214619027549504,13
../res/worlds/open.txt,2,2,25,0,0.8805834999396613,37
../res/worlds/open.txt,2,2,25,0,0.8130395743677133,11
../res/worlds/world.txt,2,2,49,8,0.15515611380229777,27
../res/worlds/open.txt,2,2,25,0,0.4309734963999915,41
